1,10,20,"5
"
2,10,20,"5
"
3,10,20,"5
"
4,10,20,"5
"
5,10,20,"5
"
6,10,20,"5
"
7,10,20,"5
"
8,10,20,"5
"
9,10,20,"5
"
10,20,20,"5
"
11,20,20,"5
"
12,20,20,"5
"
13,20,20,"5
"
14,20,20,"5
"
15,20,20,"5
"
16,20,20,"5
"
17,20,20,"5
"
18,20,20,"5
"
19,20,20,"5
"
20,20,20,"5
"
21,20,20,"5
"
22,10,20,"5
"
23,10,20,"5
"
24,10,20,"5
"
25,10,20,"5
"
26,10,20,"5
"
27,30,20,"5
"
28,30,20,"5
"
29,30,20,"5
"
31,30,20,"5
"
32,30,20,"5
"
33,30,20,"5
"
34,30,20,"5
"
35,30,20,"5
"
36,30,20,"5
"
37,30,20,"5
"
38,30,20,"5
"
39,30,20,"5
"
41,30,20,"5
"
42,30,20,"5
"
43,30,20,"5
"
44,30,20,"5
"
45,10,20,"5
"
46,10,20,"5
"
47,10,20,"5
"
48,10,20,"5
"
49,10,20,"5
"
51,10,20,"5
"
52,10,20,"5
"
53,10,20,"5
"
54,10,20,"5
"
55,10,20,"5
"
56,10,20,"5
"
57,10,20,"5
"
58,10,20,"5
"
59,10,20,"5
"
61,10,20,"5
"
62,10,20,"5
"
63,10,20,"5
"
64,10,20,"5
"
65,10,20,"5
"
66,10,20,"5
"
67,10,20,"5
"
68,10,20,"5
"
69,10,20,"5
"
71,10,20,"5
"
72,10,20,"5
"
73,10,20,"5
"
74,10,20,"5
"
75,10,20,"5
"
76,10,20,"5
"
77,10,20,"5
"
78,10,20,"5
"
79,10,20,"5
"
81,10,20,"5
"
82,10,20,"5
"
83,10,20,"5
"
84,10,20,"5
"
85,10,20,"5
"
86,10,20,"5
"
87,10,20,"5
"
88,10,20,"5
"
89,10,20,"5
"
91,10,20,"5
"
92,10,20,"5
"
93,10,20,"5
"
94,10,20,"5
"
95,10,20,"5
"
96,10,20,"5
"
97,10,20,"5
"
98,10,20,"5
"
99,10,20,"5
"
